h1,c1,h2,c2,h3,c3,h4,c4,h5,c5,label
S,S,PS,PS,PPS,SPS,,,,,0
S,S,SS,RS,PSS,SRS,PPSS,PSRS,,,2
S,P,SS,SP,PSS,SSP,PPSS,PSSP,,,0
S,P,SS,SP,PSS,SSP,PPSS,PSSP,,,0
S,P,SS,SP,PSS,SSP,PPSS,PSSP,,,0
S,P,SS,SP,PSS,SSP,PPSS,PSSP,,,1
S,P,SS,SP,PSS,SSP,PPSS,PSSP,,,2
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,0
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,0
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,0
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,0
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,0
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,1
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,1
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,1
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,2
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,2
S,R,SS,SR,PSS,SSR,PPSS,PSSR,,,2
S,S,SS,SS,PSS,SSS,PPSS,PSSS,,,0
S,S,SS,SS,PSS,SSS,PPSS,PSSS,,,1
P,P,SP,PP,SSP,SPP,PSSP,SSPP,PPSSP,SSSPP,1
P,P,SP,PP,SSP,SPP,PSSP,SSPP,PPSSP,SSSPP,1
P,P,SP,PP,SSP,SPP,PSSP,SSPP,PPSSP,SSSPP,2
R,S,SR,RS,SSR,SRS,PSSR,PSRS,PPSSR,PPSRS,0
R,R,SR,SR,SSR,PSR,PSSR,RPSR,PPSSR,PRPSR,1
R,R,SR,SR,SSR,RSR,PSSR,RRSR,PPSSR,PRRSR,0
R,S,SR,RS,SSR,SRS,PSSR,RSRS,PPSSR,PRSRS,1
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,PSSPP,2
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,PSSPP,2
R,S,SR,PS,SSR,SPS,PSSR,SSPS,PPSSR,PSSPS,2
R,P,SR,RP,SSR,SRP,PSSR,SSRP,PPSSR,PSSRP,1
R,P,SR,RP,SSR,SRP,PSSR,SSRP,PPSSR,PSSRP,1
R,R,SR,RR,SSR,SRR,PSSR,SSRR,PPSSR,PSSRR,0
R,R,SR,RR,SSR,SRR,PSSR,SSRR,PPSSR,PSSRR,0
R,S,SR,RS,SSR,SRS,PSSR,SSRS,PPSSR,PSSRS,2
R,S,SR,SS,SSR,SSS,PSSR,SSSS,PPSSR,PSSSS,0
S,P,SS,RP,PSS,RRP,PPSS,RRRP,,,0
R,P,SR,PP,SSR,RPP,PSSR,RRPP,PPSSR,RRRPP,2
R,R,SR,PR,SSR,SPR,PSSR,RSPR,PPSSR,RRSPR,0
R,R,SR,PR,SSR,SPR,PSSR,RSPR,PPSSR,RRSPR,0
R,R,SR,PR,SSR,SPR,PSSR,RSPR,PPSSR,RRSPR,1
R,P,SR,RP,SSR,SRP,PSSR,RSRP,PPSSR,RRSRP,2
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,0
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,0
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,0
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,1
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,2
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,2
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,2
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,2
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,2
S,P,SS,SP,PSS,RSP,PPSS,RRSP,,,2
S,R,SS,SR,PSS,RSR,PPSS,RRSR,,,0
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,RSSPP,1
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,RSSPP,2
S,S,PS,RS,PPS,SRS,,,,,0
S,S,PS,RS,PPS,SRS,,,,,1
S,S,PS,RS,PPS,SRS,,,,,2
S,P,SS,RP,PSS,SRP,PPSS,RSRP,,,2
S,P,SS,SP,PSS,SSP,PPSS,RSSP,,,0
S,P,SS,SP,PSS,SSP,PPSS,RSSP,,,0
S,P,SS,SP,PSS,SSP,PPSS,RSSP,,,1
S,P,SS,SP,PSS,SSP,PPSS,RSSP,,,1
S,P,SS,SP,PSS,SSP,PPSS,RSSP,,,1
S,P,SS,SP,PSS,SSP,PPSS,RSSP,,,2
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,SSSPP,0
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,SSSPP,0
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,SSSPP,0
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,SSSPP,0
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,SSSPP,0
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,SSSPP,0
R,P,SR,PP,SSR,SPP,PSSR,SSPP,PPSSR,SSSPP,0
R,R,SR,SR,SSR,SSR,PSSR,SSSR,PPSSR,SSSSR,1
S,P,PS,SP,PPS,SSP,,,,,0
S,P,SS,PP,SSS,SPP,PSSS,PSPP,PPSSS,PPSPP,1
S,P,SS,RP,SSS,SRP,PSSS,PSRP,PPSSS,PPSRP,0
S,P,SS,SP,SSS,RSP,PSSS,SRSP,PPSSS,PSRSP,2
S,P,SS,PP,SSS,SPP,PSSS,SSPP,PPSSS,PSSPP,2
S,P,SS,RP,SSS,SRP,PSSS,SSRP,PPSSS,PSSRP,1
S,R,SS,RR,SSS,SRR,PSSS,SSRR,PPSSS,PSSRR,0
S,S,SS,RS,SSS,SRS,PSSS,SSRS,PPSSS,PSSRS,2
S,R,PS,SR,PPS,SSR,,,,,0
S,R,PS,SR,PPS,SSR,,,,,0
S,R,PS,SR,PPS,SSR,,,,,0
S,R,PS,SR,PPS,SSR,,,,,2
S,P,SS,PP,SSS,SPP,PSSS,RSPP,PPSSS,RRSPP,1
S,R,SS,PR,SSS,SPR,PSSS,RSPR,PPSSS,RRSPR,1
S,R,SS,PR,SSS,SPR,PSSS,RSPR,PPSSS,RRSPR,2
S,R,SS,PR,SSS,SPR,PSSS,RSPR,PPSSS,RRSPR,2
S,R,SS,PR,SSS,SPR,PSSS,RSPR,PPSSS,RRSPR,2
S,R,SS,PR,SSS,RPR,PSSS,SRPR,PPSSS,RSRPR,0
S,S,SS,SS,PSS,RSS,PPSS,SRSS,,,2
S,P,SS,PP,SSS,SPP,PSSS,SSPP,PPSSS,RSSPP,2
